,sample_id,1,2,3,4,5,6,sample,original_ordering,ordered_ids
0,1,0.0,0.9996,0.0,0.0004,0.0,0.0,C0_062314_002,27,C0_062314_030
1,2,0.011,0.0015,0.0004,0.1047,0.0,0.8824,C0_062314_003,95,C0_165_3
2,3,0.0,0.3832,0.0,0.6168,0.0,0.0,C0_062314_004,61,C0_062314_065
3,4,0.0,0.4085,0.5134,0.0782,0.0,0.0,C0_062314_005,45,C0_062314_049
4,5,0.0,0.0009,0.0,0.0048,0.0,0.9943,C0_062314_006,94,C0_165_2
5,6,0.2195,0.0198,0.021,0.2371,0.1295,0.3731,C0_062314_007,104,C0_169_3
6,7,0.0,0.4907,0.0,0.5093,0.0,0.0,C0_062314_009,75,C0_062314_083
7,8,0.9994,0.0,0.0,0.0006,0.0,0.0,C0_062314_010,16,C0_062314_019
8,9,0.4155,0.0079,0.0007,0.5736,0.0005,0.0018,C0_062314_011,83,C0_062314_093
9,10,0.0,0.4622,0.0,0.5378,0.0,0.0,C0_062314_012,68,C0_062314_073
10,11,0.0,0.0003,0.0,0.0115,0.0,0.9882,C0_062314_013,93,C0_165_1
11,12,0.0,0.0,0.0,1.0,0.0,0.0,C0_062314_014,51,C0_062314_055
12,13,0.9243,0.001,0.0008,0.0729,0.001,0.0,C0_062314_015,9,C0_062314_011
13,14,0.3813,0.0014,0.6129,0.0024,0.0008,0.0012,C0_062314_016,48,C0_062314_052
14,15,0.0,1.0,0.0,0.0,0.0,0.0,C0_062314_018,28,C0_062314_031
15,16,0.0908,0.0184,0.0014,0.1178,0.0044,0.7673,C0_062314_019,98,C0_166_3
16,17,0.0009,0.0014,0.0,0.2705,0.7262,0.001,C0_062314_020,85,C0_062314_095
17,18,0.0055,0.5564,0.0047,0.0324,0.3745,0.0265,C0_062314_021,34,C0_062314_038
18,19,0.0009,0.0026,0.0024,0.2734,0.7198,0.0009,C0_062314_022,86,C0_062314_096
19,20,0.0,0.9961,0.0,0.0039,0.0,0.0,C0_062314_023,19,C0_062314_022
20,21,0.0,0.3802,0.0,0.6198,0.0,0.0,C0_062314_024,60,C0_062314_064
21,22,0.0,1.0,0.0,0.0,0.0,0.0,C0_062314_025,29,C0_062314_033
22,23,0.062,0.0012,0.0093,0.1665,0.0342,0.7267,C0_062314_026,96,C0_166_1
23,24,0.0,0.0,0.0,1.0,0.0,0.0,C0_062314_027,52,C0_062314_056
24,25,0.0,1.0,0.0,0.0,0.0,0.0,C0_062314_028,30,C0_062314_034
25,26,0.1668,0.003,0.0022,0.1614,0.0722,0.5944,C0_062314_029,102,C0_169_1
26,27,0.0071,0.002,0.0012,0.2184,0.7706,0.0007,C0_062314_030,90,C0_164_3
27,28,0.0,0.3532,0.0,0.6468,0.0,0.0,C0_062314_031,58,C0_062314_062
28,29,0.0,0.0,0.0,0.0,0.0,1.0,C0_062314_033,92,C0_164_5
