<Covariate>		
<Trait>	d1	d2
I6001	-0.022334880682147725	0.0022283779931585733
I6005	-0.021284598852770367	-0.01813491995760736
I6008	-0.023489483497684826	0.02331833633092451
I6011	-0.021526995722071035	1.5955103952001418e-05
I6014	-0.02537161021861211	0.0488703488805492
I6081	-0.02400646687837311	-0.04644477568077056
I6082	-0.022478935154221266	-0.034784389484688094
I6083	-0.02125786362464944	-0.01034075786788624
I6084	-0.02312802692620996	0.012080638747632894
I6085	-0.021492160625798465	0.013845412945274008
I6086	-0.02125584376563707	0.027282667093630242
I6087	-0.019568261151554456	0.0147889657309901
I6088	-0.024388332246804378	0.009494232834503765
I6089	-0.023032985191749823	-0.014430251470360757
I6090	-0.023338249230127235	-0.013043595266515197
I6091	-0.020130647173411922	-0.007153093500809608
I6092	-0.02051001107945036	0.005560745134742051
I6093	-0.020129507922637718	0.04022811459540937
I6094	-0.023992537896282445	0.03556585083129022
I6095	-0.024339187793983846	-0.031168210555360062
I6096	-0.027204095557920416	0.00793289084463795
I6097	-0.023447321752009847	0.011011001868948534
I6098	-0.022110444005043545	0.025281329672478453
I6099	-0.022470537199991616	-0.009957701242539665
I6100	-0.022131619443702927	-0.0068183500747723965
I6771	-0.020570035235168527	0.013968816983190517
I6775	-0.021960401779251532	0.015721602389023554
I6779	-0.02165398438762231	-0.006498028300703233
I6783	-0.022813126991277907	0.006349367430463823
I6787	-0.0219784909630182	0.017872994160596338
I6791	-0.020348633186293198	0.016747160720254346
I6795	-0.023890578847210107	0.03744020904505865
I6799	-0.02308514329339474	0.017784705454000856
I6803	-0.023664679800181002	-0.040546347408998866
I6807	-0.02421390294422284	-0.01725979859944122
I6812	-0.01915293570227018	-0.0148687273954641
I6816	-0.0202342460885684	0.01728134641719477
I6821	-0.02177406010096734	-0.004123716748617085
I6825	-0.022836312046437376	0.009191765249736753
I6829	-0.020783902960927726	-0.00398714489734138
I6833	-0.023286582061092798	-0.02315615804783514
I6837	-0.025440084441660828	-0.036557316067768235
I6841	-0.020766755567765905	0.025397936431408766
I6845	-0.021022560231950285	0.040469404771732956
I6849	-0.01907926565825939	0.012251604618742168
I6853	-0.021506945596601244	0.0007574463191109999
I6857	-0.022993350335803887	-0.026272946062981042
I6861	-0.020949826317691593	0.0315798643682113
I6865	-0.024374797710351406	-0.015755199621225863
I6869	-0.021171167702731065	0.009749853911958933
I6873	-0.021976924646145483	0.009083310434951006
I6877	-0.02420512710717092	0.03630959097890675
I6881	-0.022979189885975096	-0.006879831732178205
I6885	-0.022620042493644337	0.0259703027687478
I6889	-0.021183758232071546	-0.016768602833761862
I6893	-0.019347023848159464	-0.02115583452702037
I6897	-0.023823116598238367	-0.023918416849731613
I6901	-0.023215655568666543	0.018097065985685036
I6905	-0.019476411530279347	0.024386398884619694
I6909	-0.023680589929898663	0.006382456908943947
I6913	-0.01835852506944342	0.01497878663895417
I6917	-0.021821656572587556	0.021382596944938777
I6921	-0.021919089731198407	-0.01574171082117408
I6925	-0.024052628534551264	-0.01928333546079108
I6929	-0.02191522347768733	-0.03073895136924574
I6933	-0.021229138408731123	-0.03334028923070194
I6937	-0.02064050318870879	-0.008383400891168725
I6941	-0.025140112924852496	0.006499151668594638
I6945	-0.018325952577571754	-0.0013615004922113952
I6949	-0.019119478950052768	-0.010862829886685554
I6953	-0.021890027576368837	0.00716349550749865
I6957	-0.025735077868834222	-0.021458050269894398
I6961	-0.023856629849440786	-0.019816268551117514
I6965	-0.01908678581743905	-0.012380711581313288
I6969	-0.02563739781611299	-0.004142182028912283
I6973	-0.0213565011911148	0.007154413266349387
I6977	-0.02461470092139296	-0.0192989020730069
I6981	-0.026431745234300818	-0.006210790990591302
I6985	-0.021576355360276515	-0.0012089648834680787
I6989	-0.022633835232677025	0.010324408832625354
I6993	-0.01949083569811517	-0.03527671669033156
I6997	-0.024843329688073654	-0.047415306483809996
I7001	-0.02153640952082603	-0.008898329401105602
I7005	-0.01977788801184558	0.022202736873182808
I7009	-0.025360534705029917	-0.0038158075774487256
I7013	-0.023563109728561803	0.0231330365512868
I7017	-0.022915041507361025	-0.028557287656988273
I7021	-0.02174415198224105	0.02706174603866001
I7025	-0.024501985257125183	-0.020182621897331304
I7029	-0.023625296070917498	-0.031238634346454894
I7033	-0.02582110661532384	-0.015761512423313927
I7037	-0.021141415422470666	-0.012742315990261184
I7041	-0.02477540628381118	-0.007846039361937293
I7045	-0.02152509084807826	-0.016456121592505705
I7049	-0.021406443675564865	0.032675590670232624
I7053	-0.018151702247273898	-0.030319307979854947
I7057	-0.023294111806227237	-0.026406855000667
I7061	-0.02125344597753985	-0.042512912762073855
I7065	-0.02185468515797184	-0.0011239495456972465
I7069	-0.022732039066306362	-0.01575575769004947
I7073	-0.023733097518719642	-0.03447667892216163
I7077	-0.02479362669049452	-0.0038889848127673667
I7081	-0.019674383810497006	0.03176408424315104
I7085	-0.02350523272329037	0.006396469758714459
I7089	-0.02230681096515	0.037440105051566565
I7093	-0.022862923771945626	-0.030612946299037592
I7096	-0.019614320240429663	0.04461879694088701
I7100	-0.016955871751134118	-0.005972013235805003
I7103	-0.024044956087747028	-0.024799200150050972
I7117	-0.02344661271280374	-0.04414830966328502
I7121	-0.022506488109888263	-0.03309974242485808
I7125	-0.023380037937126244	-0.044384404806973865
I7129	-0.020532513291691586	-0.0077160908191416236
I7133	-0.022905873754620033	-0.0012925707632877798
I7137	-0.021090537023750376	-0.007748689176113051
I7141	-0.022920436358929205	-0.02745900906919196
I7145	-0.020546111065924355	0.030185948565764818
I7149	-0.02179164421996331	0.0009120928610466946
I7153	-0.020913814576173057	0.013567707731476893
I7156	-0.021547898095298987	0.024909884562501934
I7160	-0.02266601176620227	-0.04057208245666782
I7164	-0.021232121499858755	0.02169784119595279
I7168	-0.024021213298394288	-0.0385395020363912
I7172	-0.021592820439445375	-0.009091330630148995
I7176	-0.02232153993429051	-0.03802797244965212
I7180	-0.02169336605041914	0.04128588337972508
I7184	-0.020949423481634342	-0.004218600998029528
I7188	-0.024951365121924803	-0.020180576641316967
I7192	-0.02154275098447709	-0.00028322843296864017
I7196	-0.024398566305884162	-0.026033526375227444
I7200	-0.024535963652013007	-0.018396656449172953
I7204	-0.02190540153272729	0.03323617366944966
I7208	-0.024016423657400237	-0.025923130508457976
I7212	-0.02026729020223046	0.011424206375926933
I7216	-0.020927766436970786	0.001029818436270017
I7220	-0.020037783467629144	-0.033388727785941576
I7224	-0.02400486168278449	0.01824907334086175
I7228	-0.022128802955072087	-0.006578145000737256
I7234	-0.023849152671997685	0.0037087300149193664
I7238	-0.023518077530122555	-0.018538819455429005
I7242	-0.01935619026486315	0.049413145775451736
I7246	-0.02199108412186131	-0.006187640274260181
I7250	-0.018887328888198735	-0.006938365893097704
I7254	-0.022678310529543343	0.011899469035445734
I7258	-0.021170709250911947	-0.014392938127154396
I7262	-0.022013787241976546	0.01830536338589521
I7266	-0.01846640603330296	0.04546686744877936
I7270	-0.02084723847579539	0.042459732786712306
