<Covariate>		
<Trait>	d1	d2
I6032	-0.10011776259922145	0.09507481280430635
I6067	-0.10378498954642301	-0.12048939676871565
I6167	-0.08878339212712143	0.006556544221551164
I6182	-0.10638943116695986	-0.04472721272711977
I6193	-0.1088732305848344	0.11270461762247441
I6211	-0.10617081851070902	-0.03273470748284574
I6434	-0.10807438091804432	-0.11250639452428526
I6484	-0.09880070144810034	0.06733899433125165
I6500	-0.10105067374994561	0.022604619008489472
I6504	-0.11145543544826608	-0.11214061423471289
I6612	-0.0949404270992523	-0.0011986667098788858
I6769	-0.0880852932652853	-0.14407297367649047
I6910	-0.11200264351046457	0.020512928137273637
I7011	-0.10489615615971117	-0.16422189291218578
I7025	-0.08989845335942297	0.12984054184609642
I7053	-0.08983256033882751	0.0598353386552872
I7115	-0.09562813339891582	-0.14935111103183968
I7231	-0.11699392220763834	0.004640478908872918
I7391	-0.09778665796509015	-0.024568810300850258
I6099	-0.08298156501949254	0.03989466514245115
I6100	-0.09665447149576177	-0.18304839561456726
I7548	-0.10290366653138501	-0.018580074421321868
I7561	-0.09667080954713451	-0.011602845993671748
I7567	-0.09901812779441697	-0.04941323344369468
I7592	-0.10297802081713377	-0.014919705532461882
I7597	-0.09014022427924862	-0.007296880453698618
I7601	-0.09348762226761552	0.21808699560790407
I7675	-0.09903891697046258	-0.0683763169068732
I7779	-0.09206993501062682	0.17564689189268617
I7783	-0.10723747636464871	-0.08632106939101622
I7800	-0.09440469947257768	0.010177115657173184
I7803	-0.10973591079706632	0.0824971168326505
I7813	-0.10000333234038061	-0.11966780002695121
I7846	-0.10181245753563409	0.0552976515559036
I7869	-0.11296634558304315	0.11587994624777564
I7886	-0.0972137281895725	0.11432591554035092
I7902	-0.09498274308122617	-0.21188812318735323
I7915	-0.08729894745851174	-0.03008294762330364
I7956	-0.10311826936387414	-0.03017277654807544
I7962	-0.08850155381968319	-0.013689793748809142
I7987	-0.08598413693097091	-0.1875873842156521
I7997	-0.1056780387811902	-0.08522874878862799
I7999	-0.10386573481107389	-0.13351810914421483
I6026	-0.09467795504963354	-0.00531114885093531
I6525	-0.09425329041647457	0.08322106310799716
I6558	-0.09760823661368379	0.09968989542549998
I6620	-0.11453660145899149	-0.04361000042836623
I6632	-0.09631857989906907	0.10077046997639064
I6681	-0.10235137351824593	-0.0544009439209647
I6983	-0.10622777650907352	-0.054988004174349285
I6985	-0.09954096061318596	0.1288927272594239
I6989	-0.09697422034789625	0.03321835340750127
I7070	-0.11304433345223655	0.030260015188845305
I7104	-0.09306488717617292	-0.10846613701166694
I7204	-0.10305117505661567	-0.13070248699703413
I7258	-0.11418758407400023	0.025880581040031735
I7284	-0.11033235471350429	0.07511914614103768
I7310	-0.08906768349793616	0.17218061763594905
I7314	-0.09113797754188954	0.04681532130087223
I7335	-0.11605179498440137	0.10249502769265936
I7342	-0.1061244191385633	0.08845490892952812
I7345	-0.1038004029542003	-0.1260554337404627
I7354	-0.10047405447675543	0.08710789186790285
I7454	-0.08868137533270741	-0.039683864516247044
I7464	-0.09479018110964349	0.002218520548901627
I7470	-0.10241042158301786	0.024569006581157647
I7478	-0.10172368830963495	0.08288068106293381
I7482	-0.10084167318937659	0.015848533974817305
I7511	-0.11003042313236443	0.2239595351628216
I7514	-0.09654569557662912	-0.17953918014532105
I7522	-0.07935668676297909	0.06890851191507821
I6002	-0.10784728498851083	0.02895466789374608
I6124	-0.08395547392863574	0.08896754901667106
I6135	-0.08751950678964177	0.04064555349286121
I6148	-0.09413966020178442	0.0020737668802011397
I6200	-0.08592623246768638	-0.03898880474871982
I6210	-0.09686370682050442	0.049598377225222895
I6228	-0.08829294064275099	-0.08442880697997995
I6289	-0.09910599522088047	0.1313435064482928
I6296	-0.1025212110523371	-0.18041263224961349
I6304	-0.08344585816921149	0.027003998175420617
I6316	-0.08719919174119144	-0.06038272091333042
I6337	-0.08810935809960581	0.1388500502372012
I6391	-0.11488621771291992	0.026006815057379742
I6439	-0.0995097126284137	-0.14143859022736313
I6501	-0.09422351700773632	-0.023463409118647426
I6631	-0.12210173074411766	0.15206257635939197
I6753	-0.0862213499353559	-0.013295310586278992
I6810	-0.11532124539667969	-0.061828257873549466
I6816	-0.10083084608955642	0.1951578289970644
I6849	-0.09248585483538939	-0.12267479605462688
I6885	-0.11578974379328327	0.04023057742101358
I6891	-0.08955602310119716	-0.050192484734214095
I6947	-0.09538348399616814	-0.0010799618900188277
I6950	-0.08363914746662793	-0.16284315197509927
I7072	-0.12277444152560676	0.094531702570971
I7087	-0.105669802063058	-0.08550283566213272
I7090	-0.11417608292090982	0.09782750958746722
I7105	-0.10733077688418169	0.07543421258825486
I7108	-0.10052817416728088	-0.18597340982779303
