<Phenotype>
taxa	data
Taxa	sim
I6002	-4.982434
I6026	2.354789
I6032	1.8166544
I6067	-0.5011255
I6099	-3.0826447
I6100	4.064703
I6124	3.8360896
I6135	-0.999976
I6148	-0.27701503
I6167	6.483567
I6182	0.41866374
I6193	-0.42473474
I6200	1.9199489
I6210	0.92513555
I6211	-5.2220984
I6228	6.64173
I6289	-3.524004
I6296	4.0652223
I6304	2.573793
I6316	7.3547
I6337	-1.0469098
I6391	3.5487552
I6434	-4.778735
I6439	-7.617732
I6484	1.3782872
I6500	3.011661
I6501	-1.2866392
I6504	1.3833339
I6525	6.19616
I6558	0.8124301
I6612	1.5230968
I6620	-3.3020685
I6631	-2.2576232
I6632	-5.373324
I6681	-0.40564013
I6753	4.9187045
I6769	-1.167955
I6810	-4.4475665
I6816	1.0237948
I6849	3.191023
I6885	6.0531125
I6891	-2.225302
I6910	1.873396
I6947	2.7394276
I6950	-3.9503658
I6983	5.1844454
I6985	-2.6471703
I6989	0.93514264
I7011	4.781672
I7025	4.8260584
I7053	-3.1033514
I7070	4.6021357
I7072	-0.21516046
I7087	-1.2951208
I7090	-2.0462687
I7104	7.396063
I7105	1.401033
I7108	-0.89257807
I7115	-4.0253625
I7204	0.43651727
I7231	6.6334214
I7258	-7.9754972
I7284	-1.8049663
I7310	-2.2530904
I7314	1.5201259
I7335	2.8229265
I7342	-2.1101665
I7345	1.3652123
I7354	7.6797423
I7391	0.26421854
I7454	-5.361776
I7464	5.7268486
I7470	-2.0185473
I7478	-3.4909353
I7482	-2.2313268
I7511	-3.8976932
I7514	-6.1260715
I7522	-6.552673
I7548	-0.59192824
I7561	4.084993
I7567	0.84266555
I7592	-0.84926283
I7597	-13.449192
I7601	-0.181755
I7675	3.007592
I7779	0.41646424
I7783	2.9371026
I7800	-4.7451115
I7803	2.9877121
I7813	0.1494639
I7846	5.0479136
I7869	-5.4771113
I7886	0.40147898
I7902	3.579533
I7915	-1.5269029
I7956	-1.7796576
I7962	-0.08092324
I7987	-9.512589
I7997	-6.08193
I7999	0.059352133
