<Trait>	sim
I1	27.828872636532825
I2	25.98188674731537
I3	26.953456715895335
I4	30.862725229312776
I5	27.75838570248162
I6	18.946284669914114
I7	41.10398710439095
I8	19.658611027754027
I9	33.25632602970824
I10	28.616739772650064
I11	28.446786779543
I12	20.456109389228153
I13	25.35880595261502
I14	29.37848755347238
I15	20.95556957986158
I16	29.644722022622584
I17	36.814275964375796
I18	23.053117821207728
I19	32.57618889338766
I20	25.40763590247608
I21	35.407839398909886
I22	31.04897895983228
I23	31.610578180194093
I24	35.982606899399734
I25	24.875898560722188
I26	28.48073453183112
I27	23.463114299257093
I28	21.437545442123184
I29	33.964119890391785
I30	29.775578296622992
I31	17.751314421397893
I32	26.20027243795843
I33	25.80794692730048
I34	23.778588234354423
I35	33.47970370287704
I36	28.040896794545258
I37	25.742067706693756
I38	33.32558428680631
I39	30.62670379226871
I40	29.017332111739236
I41	38.96621384358664
I42	28.340384259704056
I43	31.567583697225913
I44	35.62977192712593
I45	33.926734327470335
I46	36.35095066206905
I47	37.62904743018272
I48	20.72628376388994
I49	26.41942610056312
I50	38.30907807405948
I51	33.81711561959371
I52	25.41737804643593
I53	23.19082764410939
I54	34.15718297023855
I55	30.40439871162685
I56	22.31234277184136
I57	4.469152270481473
I58	30.989468452508657
I59	40.42895597436317
I60	20.22632744759488
I61	34.97553378940548
I62	24.087602022719476
I63	23.97239686886377
I64	27.37192247912588
I65	34.858070941228114
I66	35.132093338880516
I67	32.431228264444904
I68	30.73923861706365
I69	27.990338018441015
I70	20.57326459419191
I71	36.84487539009567
I72	32.458410943632416
I73	16.11171464569621
I74	24.65946357606033
I75	38.47344564924913
I76	24.495167591505556
I77	27.688241557851654
I78	40.12815846126839
I79	39.627787617869664
I80	26.025870201416872
I81	39.23232466753993
I82	29.99691049606871
I83	33.1880883071546
I84	39.035069129318074
I85	32.80938872902517
I86	28.080401844638118
I87	42.27483137432901
I88	26.07034751990993
I89	29.519693011050528
I90	21.540394649245357
I91	30.280074282646567
I92	33.247876700092405
I93	33.281444020248244
I94	32.10370411534474
I95	22.59279934789504
I96	26.110600518626594
I97	30.04131500881289
I98	34.2668618390051
I99	38.16603670433762
I100	21.443575417173903
I101	25.92308381376506
I102	23.373550005891797
I103	26.50827185182085
I104	21.73596862849644
I105	18.25875115398298
