<Trait>	sim
I1	33.10200740821084
I2	35.178550464820084
I3	32.23668069360895
I4	31.631329764950582
I5	34.3761166093893
I6	44.00700640131414
I7	32.694585697905424
I8	27.476563951014136
I9	28.829526491348975
I10	27.697573328750494
I11	34.27826263502243
I12	27.838371965718384
I13	22.24720931309169
I14	31.953911203545083
I15	31.000245994309434
I16	38.137198022858506
I17	46.186868336879385
I18	24.97886714831209
I19	39.12002007580516
I20	30.408277758719734
I21	33.98615094533166
I22	45.95547206188913
I23	33.21598883157066
I24	29.24942969364954
I25	25.45793921373959
I26	41.029112209159
I27	35.82668223188128
I28	38.82717058951468
I29	45.364129121942064
I30	35.623280232178956
I31	36.15258404691979
I32	31.291894878385637
I33	33.398157328347025
I34	35.6365389711829
I35	29.806232315043744
I36	43.012758598852535
I37	35.30268824696337
I38	33.44317311002061
I39	23.531502813892835
I40	23.262761454568444
I41	33.92320123688215
I42	31.83132178140533
I43	32.6537850234765
I44	36.24062009027699
I45	32.762188790408075
I46	31.45200832032898
I47	33.02558808729895
I48	50.690209331691065
I49	33.05097295139785
I50	36.815623238474714
I51	22.94768647652205
I52	30.159076395451596
I53	35.01456431531502
I54	30.56004564595972
I55	23.019597785183265
I56	37.04025412178434
I57	16.753611463385383
I58	29.342785674301204
I59	38.79697888607537
I60	33.44147056579015
I61	42.215417919611724
I62	34.069209212804836
I63	23.537680062424762
I64	49.73196935856019
I65	22.164916194467125
I66	30.878840558024326
I67	32.28541228049047
I68	39.52830920890653
I69	29.095065350156702
I70	33.44699692720222
I71	34.284128879841816
I72	42.1849505750766
I73	40.09805651076986
I74	13.630832993879483
I75	47.343065675904754
I76	31.522252920866816
I77	40.493787077124864
I78	36.64552962519978
I79	36.57212836377731
I80	25.404620966445222
I81	22.003842135389373
I82	48.859356883870596
I83	31.6867339824691
I84	24.00019747196889
I85	23.111081211631166
I86	39.99274303282267
I87	16.423012454392843
I88	47.14396443053697
I89	44.32908052945975
I90	31.35346578437792
I91	43.88111556116396
I92	21.0666281240467
I93	37.536004451501235
I94	44.351992316535025
I95	34.23661842264277
I96	22.892630077332658
I97	33.86782046259888
I98	32.92197611246979
I99	22.215765647386306
I100	23.768069882623312
I101	39.40118661311479
I102	31.835857970918553
I103	31.81770559589088
I104	52.00667893923241
I105	24.698435190489377
