chr	cM_pos
1	-4.8
1	-4.6
1	-4.4
1	-4.2
1	-4.0
1	-3.8
1	-3.6
1	-3.4
1	-3.2
1	-3.0
1	-2.8
1	-2.6
1	-2.4
1	-2.2
1	-2.0
1	-1.8
1	-1.6
1	-1.4
1	-1.2
1	-1.0
1	-0.8
1	-0.6
1	-0.4
1	-0.2
1	0.0
1	0.2
1	0.4
1	0.6
1	0.8
1	1.0
1	1.2
1	1.4
1	1.6
1	1.8
1	2.0
1	2.2
1	2.4
1	2.6
1	2.8
1	3.0
1	3.2
1	3.4
1	3.6
1	3.8
1	4.0
1	4.2
1	4.4
1	4.6
1	4.8
1	5.0
1	5.2
1	5.4
1	5.6
1	5.8
1	6.0
1	6.2
1	6.4
1	6.6
1	6.8
1	7.0
1	7.2
1	7.4
1	7.6
1	7.8
1	8.0
1	8.2
1	8.4
1	8.6
1	8.8
1	9.0
1	9.2
1	9.4
1	9.6
1	9.8
1	10.0
1	10.2
1	10.4
1	10.6
1	10.8
1	11.0
1	11.2
1	11.4
1	11.6
1	11.8
1	12.0
1	12.2
1	12.4
1	12.6
1	12.8
1	13.0
1	13.2
1	13.4
1	13.6
1	13.8
1	14.0
1	14.2
1	14.4
1	14.6
1	14.8
1	15.0
1	15.2
1	15.4
1	15.6
1	15.8
1	16.0
1	16.2
1	16.4
1	16.6
1	16.8
1	17.0
1	17.2
1	17.4
1	17.6
1	17.8
1	18.0
1	18.2
1	18.4
1	18.6
1	18.8
1	19.0
1	19.2
1	19.4
1	19.6
1	19.8
1	20.0
1	20.2
1	20.4
1	20.6
1	20.8
1	21.0
1	21.2
1	21.4
1	21.6
1	21.8
1	22.0
1	22.2
1	22.4
1	22.6
1	22.8
1	23.0
1	23.2
1	23.4
1	23.6
1	23.8
1	24.0
1	24.2
1	24.4
1	24.6
1	24.8
1	25.0
1	25.2
1	25.4
1	25.6
1	25.8
1	26.0
1	26.2
1	26.4
1	26.6
1	26.8
1	27.0
1	27.2
1	27.4
1	27.6
1	27.8
1	28.0
1	28.2
1	28.4
1	28.6
1	28.8
1	29.0
1	29.2
1	29.4
1	29.6
1	29.8
1	30.0
1	30.2
1	30.4
1	30.6
1	30.8
1	31.0
1	31.2
1	31.4
1	31.6
1	31.8
1	32.0
1	32.2
1	32.4
1	32.6
1	32.8
1	33.0
1	33.2
1	33.4
1	33.6
1	33.8
1	34.0
1	34.2
1	34.4
1	34.6
1	34.8
1	35.0
1	35.2
1	35.4
1	35.6
1	35.8
1	36.0
1	36.2
1	36.4
1	36.6
1	36.8
1	37.0
1	37.2
1	37.4
1	37.6
1	37.8
1	38.0
1	38.2
1	38.4
1	38.6
1	38.8
1	39.0
1	39.2
1	39.4
1	39.6
1	39.8
1	40.0
1	40.2
1	40.4
1	40.6
1	40.8
1	41.0
1	41.2
1	41.4
1	41.6
1	41.8
1	42.0
1	42.2
1	42.4
1	42.6
1	42.8
1	43.0
1	43.2
1	43.4
1	43.6
1	43.8
1	44.0
1	44.2
1	44.4
1	44.6
1	44.8
1	45.0
1	45.2
1	45.4
1	45.6
1	45.8
1	46.0
1	46.2
1	46.4
1	46.6
1	46.8
1	47.0
1	47.2
1	47.4
1	47.6
1	47.8
1	48.0
1	48.2
1	48.4
1	48.6
1	48.8
1	49.0
1	49.2
1	49.4
1	49.6
1	49.8
1	50.0
1	50.2
1	50.4
1	50.6
1	50.8
1	51.0
1	51.2
1	51.4
1	51.6
1	51.8
1	52.0
1	52.2
1	52.4
1	52.6
1	52.8
1	53.0
1	53.2
1	53.4
1	53.6
1	53.8
1	54.0
1	54.2
1	54.4
1	54.6
1	54.8
1	55.0
1	55.2
1	55.4
1	55.6
1	55.8
1	56.0
1	56.2
1	56.4
1	56.6
1	56.8
1	57.0
1	57.2
1	57.4
1	57.6
1	57.8
1	58.0
1	58.2
1	58.4
1	58.6
1	58.8
1	59.0
1	59.2
1	59.4
1	59.6
1	59.8
1	60.0
1	60.2
1	60.4
1	60.6
1	60.8
1	61.0
1	61.2
1	61.4
1	61.6
1	61.8
1	62.0
1	62.2
1	62.4
1	62.6
1	62.8
1	63.0
1	63.2
1	63.4
1	63.6
1	63.8
1	64.0
1	64.2
1	64.4
1	64.6
1	64.8
1	65.0
1	65.2
1	65.4
1	65.6
1	65.8
1	66.0
1	66.2
1	66.4
1	66.6
1	66.8
1	67.0
1	67.2
1	67.4
1	67.6
1	67.8
1	68.0
1	68.2
1	68.4
1	68.6
1	68.8
1	69.0
1	69.2
1	69.4
1	69.6
1	69.8
1	70.0
1	70.2
1	70.4
1	70.6
1	70.8
1	71.0
1	71.2
1	71.4
1	71.6
1	71.8
1	72.0
1	72.2
1	72.4
1	72.6
1	72.8
1	73.0
1	73.2
1	73.4
1	73.6
1	73.8
1	74.0
1	74.2
1	74.4
1	74.6
1	74.8
1	75.0
1	75.2
1	75.4
1	75.6
1	75.8
1	76.0
1	76.2
1	76.4
1	76.6
1	76.8
1	77.0
1	77.2
1	77.4
1	77.6
