Trait	Marker	Chr	Pos	df	F	p	add_effect	add_F	add_p	dom_effect	dom_F	dom_p	errordf	MarkerR2	Genetic Var	Residual Var	-2LnLikelihood
sim	None			0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	98	NaN	35.77882	31.18595	676.41697
sim	0	1	88897	2	0.05091	0.95039	-1.6078E-1	0.00394	0.95009	0.50217	0.02881	0.86558	100	0.00104	35.77882	31.18595	676.41697
sim	1	1	170386	1	0.71959	0.39839	NaN	NaN	NaN	NaN	NaN	NaN	100	0.00737	35.77882	31.18595	676.41697
sim	2	1	251876	2	2.19675	0.11678	-5.1074E0	3.07575	0.08269	1.18291	0.09626	0.75705	100	0.045	35.77882	31.18595	676.41697
sim	3	1	333365	2	0.95987	0.38663	2.28523	1.89042	0.17239	1.78438	0.81943	0.36764	100	0.01966	35.77882	31.18595	676.41697
sim	4	1	414855	1	1.64924	0.20215	NaN	NaN	NaN	NaN	NaN	NaN	100	0.01689	35.77882	31.18595	676.41697
sim	5	1	496344	2	1.16271	0.31705	2.61533	1.87887	0.17369	3.1261	1.9905	0.16156	100	0.02382	35.77882	31.18595	676.41697
sim	6	1	577834	2	0.2417	0.78578	0.044	7.2224E-4	0.97862	1.18158	0.3664	0.54642	100	0.00495	35.77882	31.18595	676.41697
sim	7	1	659323	2	1.41658	0.24762	-1.3599E0	0.79266	0.37555	3.17907	2.82299	0.09621	100	0.02902	35.77882	31.18595	676.41697
sim	8	1	740812	2	1.20565	0.30404	-3.8957E0	0.96501	0.32842	0.97813	0.05401	0.81673	100	0.0247	35.77882	31.18595	676.41697
sim	9	1	822302	2	1.84678	0.16336	1.61179	1.63065	0.20473	2.92584	3.06224	0.08336	100	0.03783	35.77882	31.18595	676.41697
sim	10	1	903791	2	0.21158	0.80969	-1.2873E0	0.29602	0.58766	-1.788E0	0.39536	0.531	100	0.00433	35.77882	31.18595	676.41697
sim	11	1	985281	2	1.1657	0.31612	1.73238	1.58234	0.21151	1.94254	1.41935	0.23648	100	0.02388	35.77882	31.18595	676.41697
sim	12	1	1066770	2	0.42634	0.65414	-1.5825E-1	0.00528	0.94221	1.72559	0.50898	0.47733	100	0.00873	35.77882	31.18595	676.41697
sim	13	1	1148260	2	6.79283	0.00175	-5.7015E-1	0.16132	0.68885	5.66317	13.53396	3.8844E-4	100	0.13915	35.77882	31.18595	676.41697
sim	14	1	1229749	1	0.10433	0.7474	NaN	NaN	NaN	NaN	NaN	NaN	100	0.00107	35.77882	31.18595	676.41697
sim	15	1	1311239	2	6.04842	0.00337	-9.9772E-1	0.52007	0.47258	5.45318	12.05684	7.7846E-4	100	0.1239	35.77882	31.18595	676.41697
sim	16	1	1392728	1	3.6771	0.05814	NaN	NaN	NaN	NaN	NaN	NaN	100	0.03766	35.77882	31.18595	676.41697
sim	17	1	1474217	2	0.7992	0.45269	-7.5912E-1	0.09729	0.75579	3.14289	1.19363	0.27736	100	0.01637	35.77882	31.18595	676.41697
sim	18	1	1555707	2	1.74969	0.17938	-5.9941E-3	1.4127E-5	0.99701	3.16452	2.54227	0.11416	100	0.03584	35.77882	31.18595	676.41697
sim	19	1	1637196	2	1.08151	0.34322	4.24655	2.12505	0.14821	4.1494	1.57128	0.2131	100	0.02215	35.77882	31.18595	676.41697
sim	20	1	1718686	2	5.60299	0.00501	-9.2224E0	10.87985	0.00137	9.26417	8.5882	0.00424	100	0.11478	35.77882	31.18595	676.41697
sim	21	1	1800175	2	2.45487	0.09131	3.05473	3.60404	0.06067	3.53923	3.8248	0.05344	100	0.05029	35.77882	31.18595	676.41697
sim	22	1	1881665	2	0.09648	0.90812	-5.0983E-1	0.11231	0.73827	-3.1166E-1	0.03538	0.85121	100	0.00198	35.77882	31.18595	676.41697
sim	23	1	1963154	1	2.31343	0.13155	NaN	NaN	NaN	NaN	NaN	NaN	100	0.0237	35.77882	31.18595	676.41697
sim	24	1	2180524	1	2.27252	0.13497	NaN	NaN	NaN	NaN	NaN	NaN	100	0.02328	35.77882	31.18595	676.41697
sim	25	1	2397894	2	1.11704	0.33151	0.66462	0.1694	0.68157	1.88471	0.96987	0.32721	100	0.02288	35.77882	31.18595	676.41697
sim	26	1	2615265	2	0.17769	0.83748	1.7252	0.3447	0.55852	1.27728	0.15629	0.69348	100	0.00364	35.77882	31.18595	676.41697
sim	27	1	2832635	1	0.03787	0.84611	NaN	NaN	NaN	NaN	NaN	NaN	100	3.879E-4	35.77882	31.18595	676.41697
sim	28	1	2969600	2	2.66722	0.07464	4.13305	5.31802	0.02328	-2.4796E0	1.5225	0.22029	100	0.05464	35.77882	31.18595	676.41697
